chat_date,chat_hour,chat_minute,user,comment
2014-06-02,7,2,ktkNA,ktkNA is now known as ktk
2014-06-02,15,28,brent,brent is now known as bshambaugh
2014-06-01,16,17,timbl_,timbl_ is now known as timbl
2014-06-01,18,54,Lajjla,Lajjla is now known as PhallicQ
2014-06-01,20,4,ormaaj_,ormaaj_ is now known as ormaaj
2014-06-01,20,46,wu_,wu_ is now known as ix9
2014-06-01,22,58,ix9,ix9 is now known as wu_
2014-06-03,16,45,jbalnit,"the turtle grammar says there is an optional semi-colon after predicateObjectList. Does this mean you can do: ""s p o ; ."" ?"
2014-06-03,17,36,sesuncedu,"jbalnit:  I've seen that, and had to check to make sure  it wasn't wrong."
2014-06-03,17,38,jbalnit,sesuncedu: gues it makes write out turtle data marginally easier just terminate all p o expressions with ;
2014-06-03,17,38,jbalnit,;)
2014-06-03,17,41,sesuncedu,I'm trying to remember if lists have the same foreberance
2014-06-03,17,42,tobyink,lists are just whitespace separated.
2014-06-03,17,42,tobyink,<#foo> :hasList ( <a> <b> <c> ).
2014-06-03,17,43,jbalnit,"[8]objectList::=object (',' object)*"
2014-06-03,17,46,sesuncedu,vs. [7]    predicateObjectList   ::= http://www.w3.org/TR/2014/PR-turtle-20140109/#grammar-production-verb http://www.w3.org/TR/2014/PR-turtle-20140109/#grammar-production-objectList (';' (http://www.w3.org/TR/2014/PR-turtle-20140109/#grammar-production-verb http://www.w3.org/TR/2014/PR-turtle-20140109/#grammar-production-objectList)?)*
2014-06-03,17,46,sesuncedu,grrr
2014-06-03,17,46,sesuncedu,[7]predicateObjectList::=verb objectList (';' (verb objectList)?)*
2014-06-03,17,50,jbalnit,"hrm, the one i have has a (';')? at the end of it"
2014-06-03,17,50,sesuncedu,
2014-06-03,17,50,dc_swig_,A: http://www.w3.org/TR/2014/REC-turtle-20140225/ from sesuncedu
2014-06-03,17,51,jbalnit,a little different but still accepts an arbitrary num of semi-colons between/after
2014-06-03,17,53,sesuncedu,"The only major problem I recall with ttl grammar was \"""""""""
2014-06-03,17,53,jbalnit,long string?
2014-06-03,17,54,jbalnit,"'""""""' (('""' | '""""')? ([^""\] | ECHAR | UCHAR))* '""""""'"
2014-06-03,17,55,sesuncedu,There was an error in one of the productions that didn't like escaped double-quote as the last character (it was fixed a good while back).
2014-06-03,17,57,jbalnit,"It can't end in a non-escaped double quote, right?"
2014-06-03,17,59,sesuncedu,There was something that was too greedy - I'm trying to find the fixer
2014-06-03,18,4,jbalnit,"so the [^""\] means *any* utf-8 sequence other than those chars?"
2014-06-03,18,5,jbalnit,does the escaped quote in the long string come out as a non-escaped quote once parsed?
2014-06-03,18,6,sesuncedu,"Once parsed, escapes should be part of the literal"
2014-06-03,18,7,jbalnit,oh
2014-06-03,18,7,sesuncedu,"I mean, the character represented by same"
