chat_date,time,user,comment
2014-06-01,16:17:02,timbl_,timbl_ is now known as timbl
2014-06-01,18:54:57,Lajjla,Lajjla is now known as PhallicQ
2014-06-01,20:04:51,ormaaj_,ormaaj_ is now known as ormaaj
2014-06-01,20:46:59,wu_,wu_ is now known as ix9
2014-06-01,22:58:04,ix9,ix9 is now known as wu_
2014-06-01,16:17:02,timbl_,timbl_ is now known as timbl
2014-06-01,18:54:57,Lajjla,Lajjla is now known as PhallicQ
2014-06-01,20:04:51,ormaaj_,ormaaj_ is now known as ormaaj
2014-06-01,20:46:59,wu_,wu_ is now known as ix9
2014-06-01,22:58:04,ix9,ix9 is now known as wu_
