chat_date,chat_hour,chat_minute,user,chat_message
2014-06-01,16,17,timbl_,timbl_ is now known as timbl
2014-06-01,18,54,Lajjla,Lajjla is now known as PhallicQ
2014-06-01,20,4,ormaaj_,ormaaj_ is now known as ormaaj
2014-06-01,20,46,wu_,wu_ is now known as ix9
2014-06-01,22,58,ix9,ix9 is now known as wu_
2014-06-02,7,2,ktkNA,ktkNA is now known as ktk
2014-06-02,15,28,brent,brent is now known as bshambaugh
2014-06-05,0,52,wu_, http://xanadu.com/PurpData-D16.txt
2014-06-05,0,56,wu_, http://vowl.visualdataweb.org/js/data/foaf.json is bizarre - integers instead of URIs to name nodes
2014-06-05,0,57,wu_,not sure why they didn't just make it ingest JSON-LD?
2014-06-05,5,57,wu_,"Trifacta’s unique Predictive Interaction™ data cleansing tools and data transformation approach, data analysts become 10x more productive"
2014-06-05,6,8,wu_,"Tamr combines machine learning and advanced algorithms with collective human insight to identify data sources, understand relationships and curate siloed data at scale."
2014-06-05,6,9,wu_,"lost me at ""silo"" and ""scale"".. 6"" tablet's 32GB is about 99% empty after first 1GB for MArmotta, hmm"
2014-06-05,6,20,wu_, http://nanocubes.net/assets/pdf/nanocubes_paper.pdf
2014-06-05,6,26,wu_, https://cs.uwaterloo.ca/~ilyas/papers/StonebrakerCIDR2013.pdf
2014-06-05,6,27,wu_,"how did there get to be two DSpaces within the web-repository space. elf pavlik ignorant of boondoggle-class ""Institutional Repo"" softs?"
2014-06-05,6,28,wu_, https://apollo.open-resource.org/lab:dspace vs http://www.dspace.org/
2014-06-05,8,57,eelseth-stderr,eelseth-stderr is now known as eelseth-stdout
2014-06-05,9,32,,
2014-06-05,9,39,wu_,"on washingtonpost.com, articles are positioned below div#header , 6846px high, each pagedown is 1/2 of whatever's left after 768-toolbars, or about 2 dozen pagedowns to find the article"
2014-06-05,9,49,wu_,"theyre using ""spatial semantics"". each div in this 6800px bar corresponds to a different section of hte paper"
2014-06-05,9,53,wu_,visibility:hidden not working. /me goes back to links/w3m and laughs at CSS ppl again
2014-06-05,9,57,wu_,sexpy http://fgiasson.com/blog/index.php/2014/06/04/rdf-code-serializing-rdf-data-as-clojure-code/
2014-06-05,10,5,eelseth-stdin,eelseth-stdin is now known as eelseth-stdout
2014-06-05,10,6,wu_,wu_ is now known as cr
2014-06-05,10,46,shellac,
2014-06-05,10,46,dc_swig_,A: http://xanadu.com/#deliverable from shellac
2014-06-05,10,47,shellac,A:|Xanadu is here
2014-06-05,10,47,dc_swig_,Titled item A.
2014-06-05,10,50,danbri,
2014-06-05,10,50,dc_swig_,B: http://www.google.com/trends/explore#q=json-ld%2C%20rdfa%2C%20schema.org%2C%20sparql%2C%20microformats&cmpt=q from danbri
2014-06-05,10,50,danbri,"B:|Google trends for: json-ld, rdfa, schema.org, sparql, microformats"
2014-06-05,10,50,dc_swig_,Titled item B.
2014-06-05,10,51,danbri,B:SPARQL's doing well!
2014-06-05,10,51,dc_swig_,Added comment B1.
2014-06-05,10,59,cr,"explore.js is bailing into exceptionland before drawing the chart since _Gat isn't defined, (whatever that is. proably google spyware)"
2014-06-05,11,2,cr,"_gat global object is used to create and retrieve tracker ojbects, from which all other methods are invoked."
2014-06-05,11,7,cr,do they use the RFC1630 spelling dictionary?
2014-06-05,11,7,cr,"""objects"" on https://developers.google.com/analytics/devguides/collection/gajs/methods/gaJSApi_gat"
2014-06-05,11,58,danbri,"cr, do you have .js turned off, or some kind of blockers?"
2014-06-05,12,48,cr,/etc/hosts of about 16000 sites
2014-06-05,12,48,cr,Unsupported media type: text/turtle; charset=UTF-8 at org.w3.ldp.testsuite.mapper.RdfObjectMapper.getLang(RdfObjectMapper.java:34)
2014-06-05,12,48,cr,text/rdf+turtle more kosher? application/turtle? maybe the charset is confusing it? maven lost some parser lib?
2014-06-05,12,49,cr,"removing some progressbar-div hiding the already-drawn graph in inspector worked. surprised SPARQL has fans, it's contending for top3 worst things to happen to semweb along w/ 2000-1 era abandonment of sexps, and RDF_XML"
2014-06-05,13,34,cr,Uduvudu is an extensible and adaptive visualization framework for RDF Formated Data.
2014-06-05,13,51,cr, http://collection.britishmuseum.org/angularsparqldemo/#/   < https://stash.researchspace.org/projects/AN/repos/angularsparqldemo ( http://salad2014.linkedservices.org/menu/
2014-06-05,14,17,cr,Small Arcane Nontrivial Datasets (SANDs) are frequently complex enough to warrant custom software
2014-06-05,14,45,cr,PRISSMA Browser is an RDF browser based on Lighting Browser. The browsers renders triples with Fresnel
2014-06-05,15,18,cr,cr is now known as oa
2014-06-05,15,18,oa,SparqlFilterFlow provides a visual interface for the composition of SPARQL queries. It is based on the intuitive and empirically well-founded filter/flow model that has been extended to address the unique specifics of SPARQL http://sparql.visualdataweb.org/
2014-06-05,15,26,oa,"tdt/triples is a repository that hooks into The DataTank core application, and provides the functionality to build your URI space through the configuration of semantic resources https://github.com/tdt/triples"
